Date,Quarter,Windows Mobile,RIM,Symbian,iOS,Android,Bada,Windows Phone,Other,Total Smartphones,Total Phones
2007-03-31,2007 Q1,2931.0,2080.0,15844.0,0.0,0.0,0.0,0.0,4087.0,24943.0,259039.0
2007-06-30,2007 Q2,3212.0,2471.0,18273.0,270.0,0.0,0.0,0.0,3628.0,27855.0,272604.0
2007-09-30,2007 Q3,4180.0,3192.0,20664.0,1104.0,0.0,0.0,0.0,3612.0,32752.0,291142.0
2007-12-31,2007 Q4,4374.0,4025.0,22903.0,1928.0,0.0,0.0,0.0,3536.0,36766.0,330055.0
2008-03-31,2008 Q1,3858.0,4312.0,18400.0,1726.0,0.0,0.0,0.0,4113.0,32408.0,294283.0
2008-06-30,2008 Q2,3874.0,5594.0,18405.0,893.0,0.0,0.0,0.0,3456.0,32221.0,304722.0
2008-09-30,2008 Q3,4053.0,5800.0,18179.0,4720.0,0.0,0.0,0.0,3763.0,36515.0,308532.0
2008-12-31,2008 Q4,4714.0,7443.0,17949.0,4079.0,639.0,0.0,0.0,3319.0,38143.0,314708.0
2009-03-31,2009 Q1,3739.0,7534.0,17825.0,3848.0,575.0,0.0,0.0,2986.0,36507.0,269120.0
2009-06-30,2009 Q2,3830.0,7782.0,20881.0,5325.0,756.0,0.0,0.0,2398.0,40972.0,286122.0
2009-09-30,2009 Q3,3260.0,8523.0,18315.0,7040.0,1425.0,0.0,0.0,2531.0,41093.0,308895.0
2009-12-31,2009 Q4,4203.0,10508.0,23857.0,8676.0,4043.0,0.0,0.0,2517.0,53804.0,347103.0
2010-03-31,2010 Q1,3696.0,10753.0,24068.0,8360.0,5227.0,0.0,0.0,2403.0,54506.0,359605.0
2010-06-30,2010 Q2,3059.0,11629.0,25387.0,8743.0,10653.0,577.0,0.0,2011.0,62058.0,367987.0
2010-09-30,2010 Q3,2204.0,12508.0,29480.0,13484.0,20544.0,921.0,0.0,1991.0,81133.0,417086.0
2010-12-31,2010 Q4,3419.0,14762.0,32642.0,16011.0,30801.0,2027.0,0.0,1488.0,101150.0,452037.0
2011-03-31,2011 Q1,982.0,13004.0,27599.0,16883.0,36350.0,1862.0,1600.0,1495.0,99775.0,427846.0
2011-06-30,2011 Q2,0.0,12652.0,23853.0,19629.0,46776.0,2056.0,1724.0,1051.0,107740.0,428661.0
2011-09-30,2011 Q3,0.0,12701.0,19500.0,17295.0,60490.0,2479.0,1702.0,1018.0,115185.0,440502.0
2011-12-31,2011 Q4,0.0,13185.0,17458.0,35456.0,75906.0,3111.0,2759.0,1167.0,149042.0,476555.0
2012-03-31,2012 Q1,0.0,9939.0,12467.0,33121.0,81067.0,3842.0,2713.0,1243.0,144392.0,419108.0
2012-06-30,2012 Q2,0.0,7991.0,9072.0,28935.0,98529.0,4209.0,4087.0,863.0,153686.0,419008.0
2012-09-30,2012 Q3,0.0,8947.0,4405.0,23550.0,122480.0,5055.0,4058.0,684.0,169179.0,427730.0
2012-12-31,2012 Q4,0.0,7333.0,2569.0,43457.0,144720.0,2684.0,6186.0,713.0,207662.0,472076.0
2013-03-31,2013 Q1,0.0,6219.0,1349.0,38332.0,156186.0,1371.0,5989.0,600.0,210046.0,425822.0
2013-06-30,2013 Q2,0.0,6180.0,631.0,31900.0,177898.0,838.0,7408.0,472.0,225326.0,435158.0
2013-09-30,2013 Q3,0.0,4401.0,458.0,30330.0,205023.0,633.0,8912.0,475.0,250232.0,455642.0
2013-12-31,2013 Q4,0.0,1807.0,0.0,50224.0,219613.0,0.0,8534.0,1994.0,282171.0,490342.0
